words,count,book
வேறு,26,pmuni0184.html
தாலோ,26,pmuni0184.html
தாலேலோ,26,pmuni0184.html
வருக,21,pmuni0184.html
செங்கீரை,20,pmuni0184.html
பொன்னூச,20,pmuni0184.html
யாடவாவே,18,pmuni0184.html
லாடியருளே,18,pmuni0184.html
தருகவே,16,pmuni0184.html
னம்புலீ,15,pmuni0184.html
சப்பாணி,14,pmuni0184.html
யாடியருளே,12,pmuni0184.html
வணக்கம்,11,pmuni0184.html
சம்புவன,11,pmuni0184.html
முற்றிற்று,11,pmuni0184.html
முத்தந்,11,pmuni0184.html
வருகவே,11,pmuni0184.html
மும்மைதரு,10,pmuni0184.html
டுகபொன்,10,pmuni0184.html
னம்மனையே,10,pmuni0184.html
பொன்னிநீ,10,pmuni0184.html
ராடியருளே,10,pmuni0184.html
ராடுகவே,10,pmuni0184.html
பொன்னகர்,10,pmuni0184.html
பொருங்காவை,10,pmuni0184.html
நன்னகர்,10,pmuni0184.html
வரும்பாவை,10,pmuni0184.html
அம்புவன,9,pmuni0184.html
கொட்டியருளே,8,pmuni0184.html
யாடி,7,pmuni0184.html
யருளே,7,pmuni0184.html
வம்மையுட,7,pmuni0184.html
தென்காவை,6,pmuni0184.html
வுலகுஞ்,6,pmuni0184.html
மயிலே,6,pmuni0184.html
கொட்டுக,6,pmuni0184.html
யம்மானை,6,pmuni0184.html
பொன்னிப்,6,pmuni0184.html
புதுநீ,6,pmuni0184.html
வென்றே,5,pmuni0184.html
பெருமா,5,pmuni0184.html
வெண்ணாவ,5,pmuni0184.html
யம்பதி,5,pmuni0184.html
செழிக்கவரு,5,pmuni0184.html
மென்னம்மை,5,pmuni0184.html
குமுத,5,pmuni0184.html
ளாடுக,5,pmuni0184.html
யென்றாய்,5,pmuni0184.html
எல்லா,5,pmuni0184.html
சராசரமு,5,pmuni0184.html
மீன்றாய்,5,pmuni0184.html
முத்தமருளே,5,pmuni0184.html
லடிவனத்,5,pmuni0184.html
தமரிளம்,5,pmuni0184.html
பிடிவருகவே,5,pmuni0184.html
முதிரமுதி,5,pmuni0184.html
மதமா,5,pmuni0184.html
தங்க,5,pmuni0184.html
வனத்துமட,5,pmuni0184.html
மானே,5,pmuni0184.html
அத்திவன,5,pmuni0184.html
வுத்தம,5,pmuni0184.html
ரிடத்தமர்,5,pmuni0184.html
பெருஞ்சோணாட்,5,pmuni0184.html
டரசா,5,pmuni0184.html
ணமுதா,5,pmuni0184.html
வனங்குடி,5,pmuni0184.html
புகுந்தமென்,5,pmuni0184.html
காமர்பிடி,5,pmuni0184.html
பொருமானை,5,pmuni0184.html
வைத்தகைப்,5,pmuni0184.html
பெருமானை,5,pmuni0184.html
மருவுமான்,5,pmuni0184.html
திருவானைக்கா,4,pmuni0184.html
செங்கதிர்,4,pmuni0184.html
கொண்டு,4,pmuni0184.html
காக்க,4,pmuni0184.html
புழைக்கை,4,pmuni0184.html
சிலம்பு,4,pmuni0184.html
செங்கோ,4,pmuni0184.html
தண்ணாவ,4,pmuni0184.html
லோர்புகழும்,4,pmuni0184.html
கொட்டியருள்,4,pmuni0184.html
சப்பாணியே,4,pmuni0184.html
பொருப்பு,4,pmuni0184.html
முழுவது,4,pmuni0184.html
முயிர்த்துமெழின்,4,pmuni0184.html
ராதபூங்,4,pmuni0184.html
கொடிவருகவே,4,pmuni0184.html
பசுத்தகொடி,4,pmuni0184.html
அமுதப்,4,pmuni0184.html
னொடுவரும்பெண்,4,pmuni0184.html
அகிலாண்டநாயகி,3,pmuni0184.html
காப்புப்பருவம்,3,pmuni0184.html
செங்கீரைப்பருவம்,3,pmuni0184.html
தாலப்பருவம்,3,pmuni0184.html
சப்பாணிப்பருவம்,3,pmuni0184.html
வாரானைப்பருவம்,3,pmuni0184.html
அம்புலிப்பருவம்,3,pmuni0184.html
பருவம்,3,pmuni0184.html
நீராடற்பருவம்,3,pmuni0184.html
பொன்னூசற்பருவம்,3,pmuni0184.html
கொவ்வைவாய்,3,pmuni0184.html
காவை,3,pmuni0184.html
யஞ்ச,3,pmuni0184.html
பசுந்தோகை,3,pmuni0184.html
லாவு,3,pmuni0184.html
மேவு,3,pmuni0184.html
மாசுண,3,pmuni0184.html
பூத்த,3,pmuni0184.html
கொங்கைகள்,3,pmuni0184.html
அங்கையி,3,pmuni0184.html
சிற்றிடை,3,pmuni0184.html
செந்தா,3,pmuni0184.html
அத்தி,3,pmuni0184.html
வனத்தம,3,pmuni0184.html
ரத்த,3,pmuni0184.html
ரிடத்தவ,3,pmuni0184.html
மேகலை,3,pmuni0184.html
படப்பை,3,pmuni0184.html
பொன்னித்,3,pmuni0184.html
பொலியுங்,3,pmuni0184.html
குயிலே,3,pmuni0184.html
கரிய,3,pmuni0184.html
சயிலத்,3,pmuni0184.html
கருணைக்,3,pmuni0184.html
லூரரசி,3,pmuni0184.html
படைத்த,3,pmuni0184.html
வனத்தவள்,3,pmuni0184.html
றாயே,3,pmuni0184.html
தானப்,3,pmuni0184.html
வனந்தழையத்,3,pmuni0184.html
தழைந்தாய்,3,pmuni0184.html
செம்பவள,3,pmuni0184.html
அகிலாண்ட,3,pmuni0184.html
வம்மையுடை,3,pmuni0184.html
பிள்ளைத்,2,pmuni0184.html
தமிழ்,2,pmuni0184.html
பாயிரம்,2,pmuni0184.html
முத்தப்பருவம்,2,pmuni0184.html
அம்மானைப்,2,pmuni0184.html
விநாயகக்கடவுள்,2,pmuni0184.html
புத்தே,2,pmuni0184.html
யயிற்படை,2,pmuni0184.html
கோமா,2,pmuni0184.html
கொண்ட,2,pmuni0184.html
கொம்மைமுலை,2,pmuni0184.html
வளம்பெருகவே,2,pmuni0184.html
னாறுசெங்,2,pmuni0184.html
கடவுள்,2,pmuni0184.html
கோமேவு,2,pmuni0184.html
மாமேவு,2,pmuni0184.html
பூமேவு,2,pmuni0184.html
இரசத,2,pmuni0184.html
நறவு,2,pmuni0184.html
காலை,2,pmuni0184.html
வேலை,2,pmuni0184.html
சடைக்கமல,2,pmuni0184.html
பிராட்டிக்,2,pmuni0184.html
குரைக்குமெஞ்,2,pmuni0184.html
புண்ணிய,2,pmuni0184.html
அருங்கலை,2,pmuni0184.html
கருங்கடல்,2,pmuni0184.html
கொங்கலர்,2,pmuni0184.html
மங்கையர்,2,pmuni0184.html
வமரர்,2,pmuni0184.html
தண்காவை,2,pmuni0184.html
வூரடிக,2,pmuni0184.html
துடியிடை,2,pmuni0184.html
சுரிகுழற்,2,pmuni0184.html
சைவநெறி,2,pmuni0184.html
யம்பிகை,2,pmuni0184.html
முக்கட்,2,pmuni0184.html
மருவிய,2,pmuni0184.html
சூட்டெகின,2,pmuni0184.html
புன்னைவீ,2,pmuni0184.html
கத்து,2,pmuni0184.html
பரிந்து,2,pmuni0184.html
திசாதிசை,2,pmuni0184.html
வலியய,2,pmuni0184.html
நீரி,2,pmuni0184.html
நிழல்விரி,2,pmuni0184.html
சம்பு,2,pmuni0184.html
பேட்டினை,2,pmuni0184.html
மாதர்,2,pmuni0184.html
ளங்கு,2,pmuni0184.html
சோலை,2,pmuni0184.html
பாய,2,pmuni0184.html
காக்கவே,2,pmuni0184.html
யிழிந்து,2,pmuni0184.html
நெட்டித,2,pmuni0184.html
மணிமுத்,2,pmuni0184.html
மருங்கு,2,pmuni0184.html
கொடியைப்,2,pmuni0184.html
முடிமிசை,2,pmuni0184.html
மதகரி,2,pmuni0184.html
வனம்வரு,2,pmuni0184.html
பிறங்கற்,2,pmuni0184.html
பொற்,2,pmuni0184.html
மலர்மென்,2,pmuni0184.html
கருணை,2,pmuni0184.html
வானவர்,2,pmuni0184.html
பங்கய,2,pmuni0184.html
காராடு,2,pmuni0184.html
தாராடு,2,pmuni0184.html
சுமந்தமட,2,pmuni0184.html
மெந்தையொடு,2,pmuni0184.html
போராடு,2,pmuni0184.html
தாகினி,2,pmuni0184.html
முளரி,2,pmuni0184.html
சுட்டி,2,pmuni0184.html
குயிற்றிய,2,pmuni0184.html
ககனத்,2,pmuni0184.html
மரகத,2,pmuni0184.html
கன்றாமே,2,pmuni0184.html
போகாமே,2,pmuni0184.html
ளித்திடு,2,pmuni0184.html
மத்திவ,2,pmuni0184.html
னத்தவள்,2,pmuni0184.html
சேற்று,2,pmuni0184.html
கதலிப்,2,pmuni0184.html
வயற்காவை,2,pmuni0184.html
பாய்ந்து,2,pmuni0184.html
சலராசி,2,pmuni0184.html
மருவி,2,pmuni0184.html
தோகை,2,pmuni0184.html
புகுந்து,2,pmuni0184.html
தழையுந்,2,pmuni0184.html
தந்தி,2,pmuni0184.html
வனத்தமர்,2,pmuni0184.html
பொங்குங்,2,pmuni0184.html
புத்தமு,2,pmuni0184.html
கொங்குந்,2,pmuni0184.html
தங்குங்,2,pmuni0184.html
கொம்பே,2,pmuni0184.html
பொருளே,2,pmuni0184.html
மதவெற்,2,pmuni0184.html
வீழாமே,2,pmuni0184.html
வாள்விழி,2,pmuni0184.html
கொடிவிரவு,2,pmuni0184.html
கடிமதிற்,2,pmuni0184.html
காவையிம,2,pmuni0184.html
யப்பாவை,2,pmuni0184.html
கொம்பு,2,pmuni0184.html
வைத்த,2,pmuni0184.html
யமலச்,2,pmuni0184.html
கொட்டுகசப்பாணி,2,pmuni0184.html
சிரபுரச்சந்,2,pmuni0184.html
தரசன்,2,pmuni0184.html
றவத்திலவ,2,pmuni0184.html
தரித்தாய்,2,pmuni0184.html
பொன்னே,2,pmuni0184.html
மின்னே,2,pmuni0184.html
திரையெறிந்து,2,pmuni0184.html
பரந்து,2,pmuni0184.html
மலர்வாயாற்,2,pmuni0184.html
போதார்,2,pmuni0184.html
நினது,2,pmuni0184.html
காதார்,2,pmuni0184.html
புணரி,2,pmuni0184.html
தாதார்,2,pmuni0184.html
நளிர்முத்,2,pmuni0184.html
வீழிவாய்,2,pmuni0184.html
செம்புநா,2,pmuni0184.html
முத்தம,2,pmuni0184.html
ளித்தருளே,2,pmuni0184.html
குழைத்தோ,2,pmuni0184.html
செஞ்சடை,2,pmuni0184.html
போற்றி,2,pmuni0184.html
தனது,2,pmuni0184.html
பம்ப,2,pmuni0184.html
சற்றே,2,pmuni0184.html
மருத்தா,2,pmuni0184.html
பெருகுங்,2,pmuni0184.html
நெடுங்கோட்டு,2,pmuni0184.html
யம்புலீ,2,pmuni0184.html
போதக,2,pmuni0184.html
