words,count,book
என்று,660,pmuni0193.html
ஒரு,280,pmuni0193.html
பரஞ்சோதி,239,pmuni0193.html
அந்த,203,pmuni0193.html
நான்,201,pmuni0193.html
என்ன,196,pmuni0193.html
சிவகாமி,185,pmuni0193.html
ஆயனர்,169,pmuni0193.html
இந்த,166,pmuni0193.html
கொண்டு,145,pmuni0193.html
ஆனால்,145,pmuni0193.html
வந்து,144,pmuni0193.html
அவன்,143,pmuni0193.html
புத்த,139,pmuni0193.html
என்றார்,138,pmuni0193.html
சக்கரவர்த்தி,128,pmuni0193.html
பல்லவ,126,pmuni0193.html
நீ,124,pmuni0193.html
என்றான்,111,pmuni0193.html
அவர்,104,pmuni0193.html
அவருடைய,98,pmuni0193.html
என்,91,pmuni0193.html
பிக்ஷு,89,pmuni0193.html
வேண்டும்,88,pmuni0193.html
பிறகு,84,pmuni0193.html
அவனுடைய,84,pmuni0193.html
பெரிய,83,pmuni0193.html
அவர்கள்,82,pmuni0193.html
பார்த்து,81,pmuni0193.html
செய்து,81,pmuni0193.html
இப்போது,77,pmuni0193.html
அது,77,pmuni0193.html
வந்த,75,pmuni0193.html
மகேந்திர,74,pmuni0193.html
முன்னால்,73,pmuni0193.html
கேட்டான்,70,pmuni0193.html
தான்,68,pmuni0193.html
இல்லை,67,pmuni0193.html
இன்னும்,65,pmuni0193.html
சிவகாமியின்,63,pmuni0193.html
குதிரை,63,pmuni0193.html
அப்போது,63,pmuni0193.html
காஞ்சி,62,pmuni0193.html
என்ற,62,pmuni0193.html
அந்தக்,61,pmuni0193.html
வேலை,61,pmuni0193.html
அந்தப்,59,pmuni0193.html
நாம்,59,pmuni0193.html
வஜ்ரபாஹு,59,pmuni0193.html
ஏன்,58,pmuni0193.html
சற்று,57,pmuni0193.html
அருகில்,56,pmuni0193.html
எனக்கு,56,pmuni0193.html
அவள்,55,pmuni0193.html
யுத்தம்,54,pmuni0193.html
குமார,54,pmuni0193.html
தம்பி,54,pmuni0193.html
யார்,53,pmuni0193.html
அப்பா,53,pmuni0193.html
சிறிது,52,pmuni0193.html
கேட்டார்,52,pmuni0193.html
உடனே,52,pmuni0193.html
பரஞ்சோதியின்,52,pmuni0193.html
ஏதோ,50,pmuni0193.html
உள்ளுறை,48,pmuni0193.html
பின்னால்,48,pmuni0193.html
திரும்ப,48,pmuni0193.html
தன்,48,pmuni0193.html
ஆயனரே,48,pmuni0193.html
மின்பதிப்பு,47,pmuni0193.html
நேரம்,47,pmuni0193.html
போல்,47,pmuni0193.html
அங்கே,47,pmuni0193.html
வந்தது,47,pmuni0193.html
குரலில்,47,pmuni0193.html
அட்டவணைக்குத்,47,pmuni0193.html
மாமல்லர்,47,pmuni0193.html
இந்தப்,46,pmuni0193.html
நரசிம்மர்,46,pmuni0193.html
மேல்,45,pmuni0193.html
தாங்கள்,44,pmuni0193.html
சென்று,44,pmuni0193.html
எங்கே,44,pmuni0193.html
உன்,44,pmuni0193.html
நின்று,42,pmuni0193.html
சக்கரவர்த்தியின்,42,pmuni0193.html
இது,42,pmuni0193.html
ஐயா,42,pmuni0193.html
வேறு,41,pmuni0193.html
விட்டு,41,pmuni0193.html
மேலே,41,pmuni0193.html
கொண்டிருந்த,40,pmuni0193.html
மகா,40,pmuni0193.html
கூறினார்,40,pmuni0193.html
தோன்றியது,39,pmuni0193.html
எல்லாம்,39,pmuni0193.html
