words,count,book
&;,2032,pmuni0422_01.html
;,615,pmuni0422_01.html
',421,pmuni0422_01.html
என்று,107,pmuni0422_01.html
என்,99,pmuni0422_01.html
என்றான்,88,pmuni0422_01.html
இராமன்,73,pmuni0422_01.html
என,72,pmuni0422_01.html
ஓ,61,pmuni0422_01.html
இல்,57,pmuni0422_01.html
மா,56,pmuni0422_01.html
'',56,pmuni0422_01.html
கண்,55,pmuni0422_01.html
உயிர்,55,pmuni0422_01.html
நீ,51,pmuni0422_01.html
ஏ,50,pmuni0422_01.html
தன்,47,pmuni0422_01.html
என்றாள்,46,pmuni0422_01.html
ஓர்,43,pmuni0422_01.html
தயரதன்,42,pmuni0422_01.html
பொன்,42,pmuni0422_01.html
ஆம்,41,pmuni0422_01.html
அரும்,38,pmuni0422_01.html
இடை,38,pmuni0422_01.html
என்பார்,38,pmuni0422_01.html
சொல்,37,pmuni0422_01.html
நல்,36,pmuni0422_01.html
ஆல்,36,pmuni0422_01.html
வந்து,35,pmuni0422_01.html
மேல்,35,pmuni0422_01.html
அத்து,34,pmuni0422_01.html
பின்,34,pmuni0422_01.html
என்னும்,34,pmuni0422_01.html
இவ்,33,pmuni0422_01.html
நீர்,32,pmuni0422_01.html
எனும்,31,pmuni0422_01.html
நின்று,30,pmuni0422_01.html
ஒன்று,30,pmuni0422_01.html
அன்று,30,pmuni0422_01.html
இனி,30,pmuni0422_01.html
யான்,29,pmuni0422_01.html
பெரும்,29,pmuni0422_01.html
என்ன,29,pmuni0422_01.html
அவ்,28,pmuni0422_01.html
மன்னன்,28,pmuni0422_01.html
தம்,27,pmuni0422_01.html
நின்,27,pmuni0422_01.html
போல்,26,pmuni0422_01.html
வசிட்டன்,26,pmuni0422_01.html
கடல்,26,pmuni0422_01.html
நிலை,26,pmuni0422_01.html
திரு,25,pmuni0422_01.html
எல்லாம்,25,pmuni0422_01.html
அரசன்,25,pmuni0422_01.html
கோசலை,25,pmuni0422_01.html
இன்,24,pmuni0422_01.html
பேர்,24,pmuni0422_01.html
மகன்,24,pmuni0422_01.html
நெடும்,24,pmuni0422_01.html
கொண்டு,23,pmuni0422_01.html
அது,23,pmuni0422_01.html
