words,count,book
&;,549,pmuni0466.html
விருத்தம்,48,pmuni0466.html
ராகம்,47,pmuni0466.html
குறிப்புரை,45,pmuni0466.html
பல்லவி,40,pmuni0466.html
சரணங்கள்,34,pmuni0466.html
குறத்தி,33,pmuni0466.html
குரை,32,pmuni0466.html
அனுபல்லவி,30,pmuni0466.html
கும்பேசர்,26,pmuni0466.html
குடந்தை,26,pmuni0466.html
ஒரு,25,pmuni0466.html
குறவஞ்சி,19,pmuni0466.html
செகன்,19,pmuni0466.html
வந்து,19,pmuni0466.html
கும்பநாதா,19,pmuni0466.html
மோகினி,18,pmuni0466.html
என்று,16,pmuni0466.html
சிங்கி,16,pmuni0466.html
பேசர்,15,pmuni0466.html
கைதா,15,pmuni0466.html
கும்ப,14,pmuni0466.html
வந்தா,14,pmuni0466.html
சிங்கா,14,pmuni0466.html
;,13,pmuni0466.html
நாடகம்,13,pmuni0466.html
ஸ்ரீ,13,pmuni0466.html
குறி,13,pmuni0466.html
என்ற,13,pmuni0466.html
என்பது,13,pmuni0466.html
கு,13,pmuni0466.html
ரை,13,pmuni0466.html
குழுவன்,12,pmuni0466.html
மங்கை,12,pmuni0466.html
கொண்டு,12,pmuni0466.html
வாழி,12,pmuni0466.html
},11,pmuni0466.html
வருகை,11,pmuni0466.html
பல,11,pmuni0466.html
வரலாறு,11,pmuni0466.html
கூறுதல்,10,pmuni0466.html
தன்,10,pmuni0466.html
பறவை,10,pmuni0466.html
சிங்கன்,10,pmuni0466.html
என்னும்,10,pmuni0466.html
நாட்டிற்,10,pmuni0466.html
வந்த,10,pmuni0466.html
செகன்மோகினி,10,pmuni0466.html
வினவுதல்,9,pmuni0466.html
தாமரை,9,pmuni0466.html
திருமால்,9,pmuni0466.html
சடையார்,9,pmuni0466.html
நாட்டில்,9,pmuni0466.html
நாதர்,9,pmuni0466.html
புராணம்,9,pmuni0466.html
கண்ணி,9,pmuni0466.html
தம்,8,pmuni0466.html
கணபதி,8,pmuni0466.html
தானே,8,pmuni0466.html
சிவபெருமான்,8,pmuni0466.html
வந்தார்,8,pmuni0466.html
நீ,8,pmuni0466.html
காணேன்,8,pmuni0466.html
{,7,pmuni0466.html
பாபநாச,7,pmuni0466.html
குறத்தியின்,7,pmuni0466.html
சிங்கனும்,7,pmuni0466.html
அவள்,7,pmuni0466.html
செய்து,7,pmuni0466.html
இவர்,7,pmuni0466.html
கொண்ட,7,pmuni0466.html
பாட,7,pmuni0466.html
சிறந்த,7,pmuni0466.html
குடந்தைக்,7,pmuni0466.html
கும்பலிங்கர்,7,pmuni0466.html
அடடா,7,pmuni0466.html
நிலவே,7,pmuni0466.html
என்ன,7,pmuni0466.html
வந்தாளே,7,pmuni0466.html
மலையி,7,pmuni0466.html
தரிசிக்குந்,7,pmuni0466.html
கைதாஅடி,7,pmuni0466.html
வந்தான்,7,pmuni0466.html
கூறல்,6,pmuni0466.html
தரிசனம்,6,pmuni0466.html
பாட்டு,6,pmuni0466.html
காவிரி,6,pmuni0466.html
முதலிய,6,pmuni0466.html
சில,6,pmuni0466.html
இந்த,6,pmuni0466.html
ராச,6,pmuni0466.html
கலித்துறை,6,pmuni0466.html
என்,6,pmuni0466.html
காளை,6,pmuni0466.html
யானை,6,pmuni0466.html
முனிவர்,6,pmuni0466.html
வந்தானே,6,pmuni0466.html
கேசர்,6,pmuni0466.html
கண்டு,6,pmuni0466.html
புண்ணிய,6,pmuni0466.html
ஆதி,6,pmuni0466.html
னாட்டினில்,6,pmuni0466.html
நான்,6,pmuni0466.html
நானாடிய,6,pmuni0466.html
வெகுவெகு,6,pmuni0466.html
கோதையே,6,pmuni0466.html
ஆளால்,6,pmuni0466.html
விம்ப,6,pmuni0466.html
சிங்கிக்,6,pmuni0466.html
இது,5,pmuni0466.html
வாசல்,5,pmuni0466.html
தேடி,5,pmuni0466.html
வரும்,5,pmuni0466.html
ஓர்,5,pmuni0466.html
பெற்றது,5,pmuni0466.html
நாயகி,5,pmuni0466.html
