words,count,book
என்று,601,pmuni0643.html
பார்வதி,334,pmuni0643.html
ஒரு,282,pmuni0643.html
அவள்,280,pmuni0643.html
ராஜா,226,pmuni0643.html
அவர்,226,pmuni0643.html
நான்,210,pmuni0643.html
பாரதி,206,pmuni0643.html
சேதுபதி,170,pmuni0643.html
என்ன,148,pmuni0643.html
அந்த,145,pmuni0643.html
தான்,144,pmuni0643.html
தன்,135,pmuni0643.html
வந்து,130,pmuni0643.html
கொண்டு,123,pmuni0643.html
வேண்டும்,113,pmuni0643.html
பார்வதியின்,113,pmuni0643.html
என்,111,pmuni0643.html
இப்போது,110,pmuni0643.html
என்றாள்,106,pmuni0643.html
மணி,85,pmuni0643.html
இந்த,84,pmuni0643.html
எனக்கு,82,pmuni0643.html
சேதுபதியின்,81,pmuni0643.html
போய்,79,pmuni0643.html
போல்,76,pmuni0643.html
நேரம்,76,pmuni0643.html
அவன்,73,pmuni0643.html
இல்லை,69,pmuni0643.html
நீ,69,pmuni0643.html
என்ற,67,pmuni0643.html
கொண்டாள்,65,pmuni0643.html
அந்தக்,63,pmuni0643.html
என்றான்,63,pmuni0643.html
இன்று,62,pmuni0643.html
அது,61,pmuni0643.html
அந்தப்,61,pmuni0643.html
பதில்,61,pmuni0643.html
ஆனால்,60,pmuni0643.html
கொண்டிருந்த,60,pmuni0643.html
உள்ளத்தில்,59,pmuni0643.html
கேட்டாள்,59,pmuni0643.html
அத்தை,57,pmuni0643.html
கீழே,56,pmuni0643.html
செய்து,56,pmuni0643.html
கல்லூரி,55,pmuni0643.html
அவளுக்கு,55,pmuni0643.html
ஏன்,55,pmuni0643.html
பார்வதிக்கு,54,pmuni0643.html
அன்று,54,pmuni0643.html
ரொம்ப,51,pmuni0643.html
மீது,48,pmuni0643.html
கொண்டிருந்தாள்,46,pmuni0643.html
அவருடைய,46,pmuni0643.html
கொண்டே,46,pmuni0643.html
இரண்டு,46,pmuni0643.html
என்றார்,45,pmuni0643.html
எழுந்து,44,pmuni0643.html
போது,42,pmuni0643.html
சற்று,42,pmuni0643.html
என்பதை,41,pmuni0643.html
அப்போது,41,pmuni0643.html
சென்று,41,pmuni0643.html
பார்த்துக்,40,pmuni0643.html
கார்,40,pmuni0643.html
இது,39,pmuni0643.html
இந்தக்,38,pmuni0643.html
மீண்டும்,38,pmuni0643.html
முன்,37,pmuni0643.html
முதல்,37,pmuni0643.html
கொண்டிருந்தது,37,pmuni0643.html
காரணம்,37,pmuni0643.html
மாலை,37,pmuni0643.html
விட்டு,36,pmuni0643.html
ஓர்,36,pmuni0643.html
மட்டும்,36,pmuni0643.html
அடுத்த,36,pmuni0643.html
இருந்தது,36,pmuni0643.html
காமாட்சி,36,pmuni0643.html
காதல்,35,pmuni0643.html
பெரிய,35,pmuni0643.html
சொல்லிக்,35,pmuni0643.html
சொல்லி,34,pmuni0643.html
முடியவில்லை,34,pmuni0643.html
கொள்ள,34,pmuni0643.html
விட்டது,33,pmuni0643.html
பிரின்ஸிபால்,33,pmuni0643.html
அன்பு,33,pmuni0643.html
எண்ணிக்,33,pmuni0643.html
பிறகு,32,pmuni0643.html
கூறிய,32,pmuni0643.html
வெளியே,32,pmuni0643.html
அவர்கள்,32,pmuni0643.html
எவ்வளவு,32,pmuni0643.html
ஒன்று,31,pmuni0643.html
குரல்,31,pmuni0643.html
நேரத்தில்,31,pmuni0643.html
கூறி,31,pmuni0643.html
அந்தச்,31,pmuni0643.html
வரும்,30,pmuni0643.html
அதை,30,pmuni0643.html
நாள்,30,pmuni0643.html
கொஞ்சம்,30,pmuni0643.html
கூட,30,pmuni0643.html
நின்று,30,pmuni0643.html
அவளுடைய,29,pmuni0643.html
திருமணம்,29,pmuni0643.html
இங்கே,29,pmuni0643.html
ஏதோ,29,pmuni0643.html
ஆயினும்,28,pmuni0643.html
பார்த்து,28,pmuni0643.html
அங்கே,28,pmuni0643.html
வந்த,28,pmuni0643.html
பாரதியின்,28,pmuni0643.html
யெல்லாம்,28,pmuni0643.html
உள்ளம்,28,pmuni0643.html
தாங்கள்,28,pmuni0643.html
விட்டாள்,28,pmuni0643.html
உன்,28,pmuni0643.html
இன்னொரு,27,pmuni0643.html
நல்ல,27,pmuni0643.html
தானே,27,pmuni0643.html
எடுத்து,27,pmuni0643.html
கூடாது,27,pmuni0643.html
இருக்கிறது,27,pmuni0643.html
அவருக்கு,27,pmuni0643.html
அவரை,27,pmuni0643.html
விஷயம்,26,pmuni0643.html
குருத்து,26,pmuni0643.html
சில,26,pmuni0643.html
எடுத்துக்,26,pmuni0643.html
பேசிக்,26,pmuni0643.html
உட்கார்ந்து,26,pmuni0643.html
திரும்பி,26,pmuni0643.html
தோன்றியது,26,pmuni0643.html
என்னிடம்,26,pmuni0643.html
வந்தது,25,pmuni0643.html
முறை,25,pmuni0643.html
அப்புறம்,25,pmuni0643.html
பார்த்தாள்,25,pmuni0643.html
நிலையில்,25,pmuni0643.html
ராஜாவின்,25,pmuni0643.html
வேண்டிய,25,pmuni0643.html
அறைக்குள்,25,pmuni0643.html
அவளால்,25,pmuni0643.html
இன்னும்,24,pmuni0643.html
சரி,24,pmuni0643.html
இருந்து,24,pmuni0643.html
கண்டு,24,pmuni0643.html
எந்த,24,pmuni0643.html
பெரும்,24,pmuni0643.html
என்னை,24,pmuni0643.html
அறிந்து,24,pmuni0643.html
இனி,24,pmuni0643.html
வேதாந்தம்,24,pmuni0643.html
வேறு,23,pmuni0643.html
இத்தனை,23,pmuni0643.html
உனக்கு,23,pmuni0643.html
கண்டதும்,23,pmuni0643.html
தம்முடைய,23,pmuni0643.html
என்பது,22,pmuni0643.html
முடிவு,22,pmuni0643.html
உள்ளே,22,pmuni0643.html
மறந்து,22,pmuni0643.html
கல்லூரியில்,22,pmuni0643.html
நடந்து,22,pmuni0643.html
கண்,22,pmuni0643.html
குரலில்,22,pmuni0643.html
பேச,22,pmuni0643.html
அப்பா,22,pmuni0643.html
நீங்கள்,22,pmuni0643.html
மகிழ்ச்சி,22,pmuni0643.html
வெகு,22,pmuni0643.html
புரிந்து,22,pmuni0643.html
வைத்துக்,22,pmuni0643.html
பற்றி,21,pmuni0643.html
டாக்டர்,21,pmuni0643.html
முன்னால்,21,pmuni0643.html
வயது,21,pmuni0643.html
மனம்,21,pmuni0643.html
தன்னை,21,pmuni0643.html
படம்,21,pmuni0643.html
மிக,21,pmuni0643.html
திருவாளர்,21,pmuni0643.html
எப்படி,21,pmuni0643.html
அவளை,20,pmuni0643.html
எதிரில்,20,pmuni0643.html
ஒரே,20,pmuni0643.html
வீட்டில்,20,pmuni0643.html
உடல்,20,pmuni0643.html
தன்னுடைய,20,pmuni0643.html
மூன்று,20,pmuni0643.html
வேலை,20,pmuni0643.html
பாரதியும்,20,pmuni0643.html
எங்கே,20,pmuni0643.html
அதன்,20,pmuni0643.html
எடுத்துப்,20,pmuni0643.html
பார்க்க,20,pmuni0643.html
அதே,20,pmuni0643.html
ஐந்து,20,pmuni0643.html
என்னுடைய,20,pmuni0643.html
இருக்கும்,20,pmuni0643.html
படித்துக்,19,pmuni0643.html
அதில்,19,pmuni0643.html
மாணவிகள்,19,pmuni0643.html
இருவரும்,19,pmuni0643.html
கூறினாள்,19,pmuni0643.html
எண்ணத்தை,19,pmuni0643.html
கேட்டான்,19,pmuni0643.html
போட்டு,19,pmuni0643.html
இருக்க,19,pmuni0643.html
வாசலில்,19,pmuni0643.html
உடனே,19,pmuni0643.html
நிலை,19,pmuni0643.html
போகிறேன்,19,pmuni0643.html
மேஜை,18,pmuni0643.html
காலை,18,pmuni0643.html
ஞானம்,18,pmuni0643.html
கொண்டிருந்தன,18,pmuni0643.html
விடுகிறேன்,18,pmuni0643.html
வர,18,pmuni0643.html
காரில்,18,pmuni0643.html
காண,18,pmuni0643.html
கடிதம்,18,pmuni0643.html
கொண்டிருந்தார்,18,pmuni0643.html
விட்டுப்,18,pmuni0643.html
சிரித்துக்,18,pmuni0643.html
கேட்டார்,18,pmuni0643.html
டியூஷன்,18,pmuni0643.html
உண்டு,17,pmuni0643.html
வில்லை,17,pmuni0643.html
நம்,17,pmuni0643.html
கணமே,17,pmuni0643.html
கிடந்த,17,pmuni0643.html
புகுந்து,17,pmuni0643.html
மேல்,17,pmuni0643.html
கொண்டுள்ள,17,pmuni0643.html
வேளை,17,pmuni0643.html
போன்ற,16,pmuni0643.html
அல்ல,16,pmuni0643.html
செய்ய,16,pmuni0643.html
ஹாஸ்டல்,16,pmuni0643.html
விழா,16,pmuni0643.html
வாசல்,16,pmuni0643.html
எதுவுமே,16,pmuni0643.html
முதலில்,16,pmuni0643.html
விட்டேன்,16,pmuni0643.html
கொண்ட,16,pmuni0643.html
அதைக்,16,pmuni0643.html
வரச்,16,pmuni0643.html
தங்கள்,16,pmuni0643.html
பாரதியை,16,pmuni0643.html
அல்லவா,16,pmuni0643.html
பார்வதியை,16,pmuni0643.html
கடைசியில்,16,pmuni0643.html
அகாதா,16,pmuni0643.html
ஓடி,16,pmuni0643.html
ஆனாலும்,16,pmuni0643.html
;,15,pmuni0643.html
கதை,15,pmuni0643.html
முக்கிய,15,pmuni0643.html
பெண்,15,pmuni0643.html
கல்லூரியின்,15,pmuni0643.html
முகத்தில்,15,pmuni0643.html
அவனுக்கு,15,pmuni0643.html
இந்தச்,15,pmuni0643.html
'',15,pmuni0643.html
யார்,15,pmuni0643.html
மாதிரி,15,pmuni0643.html
அடிக்கடி,15,pmuni0643.html
நானும்,15,pmuni0643.html
எனக்கும்,15,pmuni0643.html
காரை,15,pmuni0643.html
அதற்கு,15,pmuni0643.html
கவனித்துக்,15,pmuni0643.html
ஆசை,15,pmuni0643.html
இவ்வளவு,15,pmuni0643.html
அவரிடம்,15,pmuni0643.html
மணிக்கு,15,pmuni0643.html
அறிவு,15,pmuni0643.html
கேட்டது,15,pmuni0643.html
போக,15,pmuni0643.html
சினிமாவுக்குப்,15,pmuni0643.html
பின்னர்,15,pmuni0643.html
விட்ட,14,pmuni0643.html
அதைப்,14,pmuni0643.html
புதிய,14,pmuni0643.html
தவிர,14,pmuni0643.html
வாங்கி,14,pmuni0643.html
உங்களுக்கு,14,pmuni0643.html
வந்தாள்,14,pmuni0643.html
நாற்காலியில்,14,pmuni0643.html
முகம்,14,pmuni0643.html
வைத்து,14,pmuni0643.html
இந்தப்,14,pmuni0643.html
கேட்டுக்,14,pmuni0643.html
அல்லது,14,pmuni0643.html
வேண்டாம்,14,pmuni0643.html
கண்களை,14,pmuni0643.html
சிறு,14,pmuni0643.html
விந்தி,14,pmuni0643.html
வாழ்க்கை,14,pmuni0643.html
அழைத்து,14,pmuni0643.html
ஆமாம்;,14,pmuni0643.html
விசிறி,13,pmuni0643.html
இதற்கு,13,pmuni0643.html
எத்தனையோ,13,pmuni0643.html
யாராவது,13,pmuni0643.html
இறங்கி,13,pmuni0643.html
அவ்வளவு,13,pmuni0643.html
பல,13,pmuni0643.html
எண்ணம்,13,pmuni0643.html
ஆண்டு,13,pmuni0643.html
அறைக்கு,13,pmuni0643.html
அப்படி,13,pmuni0643.html
போதிலும்,13,pmuni0643.html
உணர்வு,13,pmuni0643.html
எழுதி,13,pmuni0643.html
வரை,13,pmuni0643.html
எனக்குத்,13,pmuni0643.html
மிகுந்த,13,pmuni0643.html
எண்ணி,13,pmuni0643.html
நீண்ட,13,pmuni0643.html
நாம்,13,pmuni0643.html
கண்ட,13,pmuni0643.html
ராஜாவும்,13,pmuni0643.html
சந்திக்க,13,pmuni0643.html
எனக்குப்,13,pmuni0643.html
காட்டிக்,13,pmuni0643.html
சொல்ல,13,pmuni0643.html
சரஸ்வதியின்,13,pmuni0643.html
குழந்தை,13,pmuni0643.html
ஆகையால்,13,pmuni0643.html
உணர்ச்சி,13,pmuni0643.html
தோன்றி,12,pmuni0643.html
சாரதாமணிக்,12,pmuni0643.html
என்னும்,12,pmuni0643.html
கொண்டிருக்கும்,12,pmuni0643.html
இருந்த,12,pmuni0643.html
ஆறு,12,pmuni0643.html
எல்லாம்,12,pmuni0643.html
எண்ணிப்,12,pmuni0643.html
எத்தனை,12,pmuni0643.html
யாரோ,12,pmuni0643.html
வளர்ந்து,12,pmuni0643.html
பெருமாள்,12,pmuni0643.html
அவனை,12,pmuni0643.html
காலையில்,12,pmuni0643.html
அத்தை'',12,pmuni0643.html
நோக்கி,12,pmuni0643.html
தாங்கவில்லை,12,pmuni0643.html
வாழ்க்கையில்,12,pmuni0643.html
சிரித்துக்கொண்டே,12,pmuni0643.html
வேண்டும்'',12,pmuni0643.html
போகும்,12,pmuni0643.html
அப்படியானால்,12,pmuni0643.html
டெலிபோன்,12,pmuni0643.html
பேசி,12,pmuni0643.html
முடிந்ததும்,12,pmuni0643.html
அவரைப்,12,pmuni0643.html
உயர்ந்த,12,pmuni0643.html
நானே,12,pmuni0643.html
விட்டார்,12,pmuni0643.html
அளித்தது,12,pmuni0643.html
பத்து,12,pmuni0643.html
பாரதிக்கு,12,pmuni0643.html
