letters,count
க,1794
ம்,1609
த,1538
ன்,1217
க்,1197
;,1170
ரு,1147
&,1125
வ,1121
த்,1119
ர்,990
து,986
கு,953
ப,951
ம,896
ல்,884
தி,860
ந்,859
ய,732
ப்,713
ட,671
ர,615
டி,593
டு,583
ல,582
வி,579
ங்,544
ண்,497
ற,494
கி,479
ற்,468
ன,467
அ,452
ள்,428
கா,419
று,415
யி,414
ரி,389
மு,376
மா,375
ட்,371
இ,364
வா,360
பு,352
பி,345
ரை,343
எ,341
தா,329
லை,323
பா,304
றி,293
ச,291
சி,288
ழி,284
யா,283
ள,282
னை,275
',262
ழை,254
கொ,240
யு,236
ண,229
பே,225
பெ,218
ய்,213
ச்,211
ளி,198
மி,197
ழு,194
ளை,193
டை,189
னி,181
செ,180
வே,178
ழ்,178
லி,177
ந,176
உ,175
ழ,164
வு,163
போ,162
பொ,159
கை,153
றை,153
ரா,152
சு,150
ஆ,148
நா,148
வெ,143
லா,141
தெ,140
ணி,125
மை,124
தே,123
நெ,121
நி,117
தொ,116
லு,112
னு,109
தை,106
மே,100
வை,99
ஒ,99
ஞ்,91
னா,90
கோ,89
கூ,86
றா,84
யே,84
நீ,84
பூ,76
சீ,72
நூ,70
சை,70
ணை,70
டா,64
தோ,63
வீ,63
னே,59
சா,58
கே,58
சொ,58
ளு,57
‌,56
லே,49
யை,48
யெ,47
மொ,47
ளா,45
வ்,43
மெ,43
சூ,42
தீ,39
மூ,38
ஸ்,36
தூ,36
ஊ,35
ரே,34
னெ,34
மீ,34
மோ,31
ரீ,28
ஏ,28
பை,28
சோ,27
சே,26
யோ,26
ரோ,25
வோ,24
றெ,20
றோ,19
ணா,19
ளே,19
கெ,19
யீ,18
றே,17
ஓ,17
நு,16
ஞா,16
ணு,16
லெ,16
நே,16
ஷ,15
யொ,15
ஈ,14
வூ,14
கீ,13
டெ,13
ஷ்,12
ழா,12
லோ,12
{,11
},11
பீ,11
டே,11
வொ,11
ரூ,11
ஜா,10
ணீ,10
யூ,10
லொ,10
னொ,9
நோ,9
ரெ,9
றொ,9
ளோ,8
ஜ,7
ஐ,7
னோ,7
னீ,7
டொ,6
னூ,6
ளெ,6
லூ,5
ஜீ,5
நை,5
”,5
டீ,5
றீ,5
ஸ,4
றூ,4
ணெ,4
டோ,4
ணே,4
ஷே,3
ஷி,3
நொ,3
கௌ,3
ணொ,3
ஜோ,2
ஜை,2
“,2
ழே,2
ஞ,2
ஜே,2
﻿,1
ஜி,1
ஹ,1
ஸு,1
லீ,1
ளொ,1
ஸா,1
ஜெ,1
ழூ,1
ணூ,1
ஃ,1
ளீ,1
பீ்,1
டூ,1
சௌ,1
