words,count,book
௿,270,pmuni0196.html
போற்றி௿,207,pmuni0196.html
போலும்௿,153,pmuni0196.html
கண்டாய்௿,109,pmuni0196.html
திருச்சிற்றம்பலம்,98,pmuni0196.html
றன்னை௿,88,pmuni0196.html
கண்டேன்௿,83,pmuni0196.html
கொண்டார்௿,66,pmuni0196.html
தாமே௿,66,pmuni0196.html
னான்காண்௿,64,pmuni0196.html
போற்றி,64,pmuni0196.html
வாறே,61,pmuni0196.html
னாரே,54,pmuni0196.html
நானே,52,pmuni0196.html
உள்ளுறை,50,pmuni0196.html
மின்பதிப்பு,49,pmuni0196.html
அட்டவணைக்குத்,49,pmuni0196.html
திரும்ப,49,pmuni0196.html
தாமே,43,pmuni0196.html
னானை௿,42,pmuni0196.html
னேனே,39,pmuni0196.html
காணவனென்,39,pmuni0196.html
சிந்தை,38,pmuni0196.html
மேய௿,37,pmuni0196.html
றான்காண்௿,36,pmuni0196.html
றன்னைச்௿,35,pmuni0196.html
திருத்தாண்டகம்௿,34,pmuni0196.html
போலுங்௿,34,pmuni0196.html
கயிலை,34,pmuni0196.html
கண்டேன்,34,pmuni0196.html
நின்ற௿,33,pmuni0196.html
தானே,32,pmuni0196.html
மலையானே,30,pmuni0196.html
லாமே,30,pmuni0196.html
யானே,29,pmuni0196.html
தான்காண்௿,28,pmuni0196.html
போலுந்௿,28,pmuni0196.html
றன்னைப்௿,28,pmuni0196.html
கண்ட,28,pmuni0196.html
றானே,28,pmuni0196.html
நின்ற,26,pmuni0196.html
தானை௿,24,pmuni0196.html
செல்வன்,24,pmuni0196.html
கண்ணாரக்,23,pmuni0196.html
காண,23,pmuni0196.html
செல்வர்,22,pmuni0196.html
றன்னைக்௿,22,pmuni0196.html
சுவாமிபெயர்,22,pmuni0196.html
தேவியார்,22,pmuni0196.html
கற்பகத்தைக்,22,pmuni0196.html
வீழி,21,pmuni0196.html
கச்சி,21,pmuni0196.html
எண்ணத்,21,pmuni0196.html
கோவைக்௿,21,pmuni0196.html
போக்கி,20,pmuni0196.html
றன்னைத்௿,20,pmuni0196.html
இத்தலம்,20,pmuni0196.html
ஏகம்பன்,20,pmuni0196.html
மன்னி,19,pmuni0196.html
யானை௿,19,pmuni0196.html
ளானைச்௿,19,pmuni0196.html
பொழிலார்,19,pmuni0196.html
சரத்து,19,pmuni0196.html
மாகி௿,19,pmuni0196.html
மேவி,18,pmuni0196.html
எழிலாரும்,18,pmuni0196.html
கயிலாய,17,pmuni0196.html
திருத்தாண்டகம்,16,pmuni0196.html
நின்றான்,16,pmuni0196.html
நின்றார்,16,pmuni0196.html
அடியேனை,15,pmuni0196.html
நின்றாய்,15,pmuni0196.html
போலுஞ்௿,14,pmuni0196.html
னாரும்௿,14,pmuni0196.html
மேவிய,14,pmuni0196.html
சோழநாட்டிலுள்ளது௿,14,pmuni0196.html
னானைப்௿,14,pmuni0196.html
திருவானைக்,14,pmuni0196.html
புனிதன்,14,pmuni0196.html
லானைப்௿,14,pmuni0196.html
துண்டோ,14,pmuni0196.html
கண்ணி,13,pmuni0196.html
அடிகள்,13,pmuni0196.html
மானார்,13,pmuni0196.html
மாகிப்௿,13,pmuni0196.html
றுடையான்,13,pmuni0196.html
மாணிக்,13,pmuni0196.html
யாகி௿,13,pmuni0196.html
வாய்மூர்,12,pmuni0196.html
தலையாலங்,12,pmuni0196.html
யான்காண்௿,12,pmuni0196.html
ஆளுடைய,12,pmuni0196.html
ரானைப்௿,12,pmuni0196.html
றாடி,12,pmuni0196.html
தான்தோன்றி,12,pmuni0196.html
யானைக்௿,12,pmuni0196.html
போது,12,pmuni0196.html
மிழலையே,11,pmuni0196.html
செங்காட்டங்,11,pmuni0196.html
விகிர்த,11,pmuni0196.html
கருள்செய்,11,pmuni0196.html
பாகத்,11,pmuni0196.html
வுடையார்,11,pmuni0196.html
னுள்ளே,11,pmuni0196.html
மேனி,11,pmuni0196.html
கண்டடியேன்,11,pmuni0196.html
தாரும்௿,11,pmuni0196.html
கொண்டடியேன்,11,pmuni0196.html
கேனே,11,pmuni0196.html
தேனே,11,pmuni0196.html
கோமான்,11,pmuni0196.html
சேரா,11,pmuni0196.html
கீழ்வேளூ,11,pmuni0196.html
ராளுங்,11,pmuni0196.html
செம்பவளக்,11,pmuni0196.html
நாதனையே,11,pmuni0196.html
நாரையூர்,11,pmuni0196.html
குடந்தைக்கீழ்க்,11,pmuni0196.html
கோட்டத்தெங்,11,pmuni0196.html
கூத்த,11,pmuni0196.html
சோதி,10,pmuni0196.html
மிழலை,10,pmuni0196.html
திருமேனி,10,pmuni0196.html
புள்ளிருக்கு,10,pmuni0196.html
வேளூ,10,pmuni0196.html
போற்றாதே,10,pmuni0196.html
ஆற்றநாள்,10,pmuni0196.html
புரமூன்று,10,pmuni0196.html
வலம்புரமே,10,pmuni0196.html
புக்கங்கே,10,pmuni0196.html
வெண்ணியமர்ந்,10,pmuni0196.html
துறைகின்ற,10,pmuni0196.html
கற்குடியில்,10,pmuni0196.html
விழுமி,10,pmuni0196.html
நெஞ்சி,10,pmuni0196.html
நடுதறியைக்,10,pmuni0196.html
அல்லகண்டங்,10,pmuni0196.html
என்செய்,10,pmuni0196.html
தன்னை௿,10,pmuni0196.html
செழுநீர்த்,10,pmuni0196.html
திரளைச்சென்,10,pmuni0196.html
திருநாகேச்,10,pmuni0196.html
சேராதார்,10,pmuni0196.html
நன்னெறிக்கட்,10,pmuni0196.html
தாரே,10,pmuni0196.html
கேடிலியை,10,pmuni0196.html
நாடுமவர்,10,pmuni0196.html
கேடி,10,pmuni0196.html
லாரே,10,pmuni0196.html
தீவினையேன்,10,pmuni0196.html
அறியாதே,10,pmuni0196.html
திகைத்த,10,pmuni0196.html
அம்மான்,10,pmuni0196.html
பள்ளியின்முக்,10,pmuni0196.html
கூட,10,pmuni0196.html
பயிலாதே,10,pmuni0196.html
பாழேநான்,10,pmuni0196.html
உழன்ற,10,pmuni0196.html
கொட்டை,10,pmuni0196.html
யூரிற்௿,10,pmuni0196.html
நன்னகரிற்,10,pmuni0196.html
திருப்புத்,10,pmuni0196.html
தூரில்௿,10,pmuni0196.html
திருத்தளியான்,10,pmuni0196.html
அடிகளைநான்,10,pmuni0196.html
பழனை,10,pmuni0196.html
திருவாலங்,10,pmuni0196.html
காடுறையுஞ்,10,pmuni0196.html
காடன்,10,pmuni0196.html
சாராதே,10,pmuni0196.html
சாலநாள்,10,pmuni0196.html
திருமாற்,10,pmuni0196.html
குன்றினைச்சென்,10,pmuni0196.html
றடைந்தேன்,10,pmuni0196.html
