Letters,Sounds,Letter_Classification,Mei_Uyirmei_Classification_Sound,Kuril_Nedil_Classification,,,,,,,,,,,
யோ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_nedil_eluthu,,,,,,,,,,,
ரோ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_nedil_eluthu,,,,,,,,,,,
லோ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_nedil_eluthu,,,,,,,,,,,
வோ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_nedil_eluthu,,,,,,,,,,,
ழோ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_nedil_eluthu,,,,,,,,,,,
ளோ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_nedil_eluthu,,,,,,,,,,,
றோ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_nedil_eluthu,,,,,,,,,,,
னோ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_nedil_eluthu,,,,,,,,,,,
கௌ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_nedil_eluthu,,,,,,,,,,,
ஙௌ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_nedil_eluthu,,,,,,,,,,,
சௌ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_nedil_eluthu,,,,,,,,,,,
ஞௌ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_nedil_eluthu,,,,,,,,,,,
டௌ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_nedil_eluthu,,,,,,,,,,,
ணௌ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_nedil_eluthu,,,,,,,,,,,
தௌ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_nedil_eluthu,,,,,,,,,,,
நௌ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_nedil_eluthu,,,,,,,,,,,
பௌ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_nedil_eluthu,,,,,,,,,,,
மௌ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_nedil_eluthu,,,,,,,,,,,
யௌ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_nedil_eluthu,,,,,,,,,,,
ரௌ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_nedil_eluthu,,,,,,,,,,,
லௌ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_nedil_eluthu,,,,,,,,,,,
வௌ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_nedil_eluthu,,,,,,,,,,,
ழௌ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_nedil_eluthu,,,,,,,,,,,
ளௌ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_idaiyinam,uyirmei_nedil_eluthu,,,,,,,,,,,
றௌ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_vallinam,uyirmei_nedil_eluthu,,,,,,,,,,,
னௌ,Vowel-Consonants ,Uyirmei_Eluthu,uyirmei_mellinam,uyirmei_nedil_eluthu,,,,,,,,,,,
ஜ்,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஸ்,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஷ்,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஹ்,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஜ,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஸ,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஷ,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஹ,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஜா,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஸா,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஷா,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஹா,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஜி,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஸி,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஷி,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஹி,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஜீ,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஸீ,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஷீ,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஹீ,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஜு,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஸு,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஷு,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஹு,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஜூ,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஸூ,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஷூ,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஹூ,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஜெ,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஸெ,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஷெ,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஹெ,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஜே,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஸே,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஷே,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஹே,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஜை,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஸை,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஷை,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஹை,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஜொ,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஸொ,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஷொ,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஹொ,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஜோ,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஸோ,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஷோ,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஹோ,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஜௌ,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஸௌ,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஷௌ,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஹௌ,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
ஸ்ரீ,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
க்ஷ்,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
க்ஷ,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
க்ஷா,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
க்ஷி,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
க்ஷீ,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
க்ஷூ,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
க்ஷெ,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
க்ஷே,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
க்ஷை,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
க்ஷொ,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
க்ஷோ,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
க்ஷௌ,Grantha_Consonants,Vada_Mozhi_Eluthukal,,,,,,,,,,,,,
