words,count,book
கண்ணன்,43,pmuni0049.html
காதல்,33,pmuni0049.html
கண்ணம்மா,31,pmuni0049.html
நீ,27,pmuni0049.html
என்,24,pmuni0049.html
தடீ,19,pmuni0049.html
நான்,16,pmuni0049.html
கொண்டு,16,pmuni0049.html
நானுனக்கு;,16,pmuni0049.html
தங்கமே,15,pmuni0049.html
அவன்,13,pmuni0049.html
வந்து,13,pmuni0049.html
வான்;,12,pmuni0049.html
நல்ல,12,pmuni0049.html
பல,12,pmuni0049.html
ஒரு,12,pmuni0049.html
என்று,12,pmuni0049.html
என்ன,11,pmuni0049.html
அங்கு,11,pmuni0049.html
கண்டு,11,pmuni0049.html
நின்னை,11,pmuni0049.html
தாளம்,11,pmuni0049.html
தீராத,11,pmuni0049.html
தங்கம்,11,pmuni0049.html
பாட்டு,10,pmuni0049.html
சில,10,pmuni0049.html
என்றன்,9,pmuni0049.html
சகியே,9,pmuni0049.html
நின்றன்,9,pmuni0049.html
யெனக்கு,9,pmuni0049.html
சாதல்,9,pmuni0049.html
சின்னக்,8,pmuni0049.html
யான்,8,pmuni0049.html
மேனி,8,pmuni0049.html
ரசம்,7,pmuni0049.html
தன்னை,7,pmuni0049.html
இந்த,7,pmuni0049.html
கண்டேன்,7,pmuni0049.html
வேண்டுமையே,7,pmuni0049.html
குயில்,6,pmuni0049.html
சொல்லி,6,pmuni0049.html
உண்மை,6,pmuni0049.html
என்றும்,6,pmuni0049.html
என்னை,6,pmuni0049.html
அதன்,6,pmuni0049.html
இன்பக்,6,pmuni0049.html
அற்புதம்,6,pmuni0049.html
தில்லை,6,pmuni0049.html
துன்பம்,6,pmuni0049.html
அந்த,6,pmuni0049.html
கண்ண,6,pmuni0049.html
மாயக்,6,pmuni0049.html
கண்டேன்;,6,pmuni0049.html
ரசங்கள்,6,pmuni0049.html
சிந்தை,6,pmuni0049.html
சோதி,6,pmuni0049.html
தழுவி,6,pmuni0049.html
நீண்ட,6,pmuni0049.html
இன்பம்,6,pmuni0049.html
முண்டோ,6,pmuni0049.html
சிருங்கார,6,pmuni0049.html
திக்குத்,6,pmuni0049.html
ஆசை,6,pmuni0049.html
காதலி,6,pmuni0049.html
நின்று,6,pmuni0049.html
ஆண்டே,6,pmuni0049.html
நெட்டைக்,6,pmuni0049.html
போயிற்,6,pmuni0049.html
ஏகதாளம்,5,pmuni0049.html
போதினில்,5,pmuni0049.html
கொண்ட,5,pmuni0049.html
நெஞ்சில்,5,pmuni0049.html
செய்து,5,pmuni0049.html
வாள்;,5,pmuni0049.html
அவை,5,pmuni0049.html
தேவர்,5,pmuni0049.html
பின்பு,5,pmuni0049.html
யெல்லாம்,5,pmuni0049.html
எங்கும்,5,pmuni0049.html
யானும்,5,pmuni0049.html
என்றான்,5,pmuni0049.html
வான,5,pmuni0049.html
முற்றும்,5,pmuni0049.html
நானும்,5,pmuni0049.html
எனது,5,pmuni0049.html
கருதி,5,pmuni0049.html
தோன்றி,5,pmuni0049.html
வந்த,5,pmuni0049.html
அவர்,5,pmuni0049.html
துண்டோ,5,pmuni0049.html
பின்னே,5,pmuni0049.html
காதலன்,5,pmuni0049.html
பறவை,5,pmuni0049.html
கொண்டேன்,5,pmuni0049.html
நின்முகங்,5,pmuni0049.html
குயிலின்,5,pmuni0049.html
டாயின்,5,pmuni0049.html
சித்தம்,5,pmuni0049.html
வேந்தன்,5,pmuni0049.html
புன்னாகவராளி,4,pmuni0049.html
பான்;,4,pmuni0049.html
நெஞ்சம்,4,pmuni0049.html
வான்,4,pmuni0049.html
எனை,4,pmuni0049.html
சிறு,4,pmuni0049.html
குணமுடை,4,pmuni0049.html
யான்;,4,pmuni0049.html
கே,4,pmuni0049.html
கதைகள்,4,pmuni0049.html
மனம்,4,pmuni0049.html
தில்லை;,4,pmuni0049.html
கள்,4,pmuni0049.html
மிக,4,pmuni0049.html
தாள்;,4,pmuni0049.html
சாத்திரம்,4,pmuni0049.html
