words,count,book
&;,376,pmuni0282.html
பொய்யூர்,15,pmuni0282.html
லாவணி,5,pmuni0282.html
ஆரு,5,pmuni0282.html
குதிரைப்பந்தய,4,pmuni0282.html
இரங்கசாமி,3,pmuni0282.html
இயற்றியது,3,pmuni0282.html
என்னை,3,pmuni0282.html
பார்த்து,3,pmuni0282.html
நீ,3,pmuni0282.html
பொய்,3,pmuni0282.html
பொய்யூ,3,pmuni0282.html
தாஸன்,2,pmuni0282.html
துணை,2,pmuni0282.html
குதிரைப்,2,pmuni0282.html
மகாளளஸ்ரீ,2,pmuni0282.html
கடந்து,2,pmuni0282.html
பல்லவி,2,pmuni0282.html
சரணங்கள்,2,pmuni0282.html
தேனே,2,pmuni0282.html
செந்தேனே,2,pmuni0282.html
குதிரைப்பந்தயம்,2,pmuni0282.html
கடுகியே,2,pmuni0282.html
சொல்வேன்,2,pmuni0282.html
கூறடி,2,pmuni0282.html
பாறைதனில்,2,pmuni0282.html
பாரினமே,2,pmuni0282.html
﻿,1,pmuni0282.html
;,1,pmuni0282.html
கடவுள்,1,pmuni0282.html
அதி,1,pmuni0282.html
வினோதக்,1,pmuni0282.html
பந்தய,1,pmuni0282.html
இஃது,1,pmuni0282.html
சிவன்,1,pmuni0282.html
கண்ணால்,1,pmuni0282.html
றகித்தக்காமனை,1,pmuni0282.html
அந்தக்காமன்,1,pmuni0282.html
யெரியலையென்றுரைக்கும்,1,pmuni0282.html
சரிகை,1,pmuni0282.html
கிரியை,1,pmuni0282.html
யோகம்,1,pmuni0282.html
ஞானம்,1,pmuni0282.html
அத்வீதமரைவழியாயம்,1,pmuni0282.html
வண்டுமொய்க்கும்,1,pmuni0282.html
மலர்மாலையணிந்த,1,pmuni0282.html
புலவோர்கட்கும்,1,pmuni0282.html
கந்தமிகுந்த,1,pmuni0282.html
கமிஷணிந்த,1,pmuni0282.html
காமனெரியாக்,1,pmuni0282.html
காவிக்காறருக்குரைக்கும்,1,pmuni0282.html
குருங்குளம்,1,pmuni0282.html
கருப்பண்ண,1,pmuni0282.html
உபாத்தியாயரின்,1,pmuni0282.html
மாணாக்கன்,1,pmuni0282.html
ஆதி,1,pmuni0282.html
திருக்குடந்தை,1,pmuni0282.html
சரபக்கொடி,1,pmuni0282.html
நாவ,1,pmuni0282.html
தாஸனால்,1,pmuni0282.html
மற்றும்,1,pmuni0282.html
கனவான்கள்,1,pmuni0282.html
யிப்போது,1,pmuni0282.html
யிந்தக்குதிரைப்பந்தயலாவணியை,1,pmuni0282.html
யெரிந்தகக்ஷியி,1,pmuni0282.html
புகலும்படி,1,pmuni0282.html
கேட்டுக்,1,pmuni0282.html
கொண்டதால்,1,pmuni0282.html
யானாகியயெளியேன்,1,pmuni0282.html
யெடுத்துரைத்தமையால்,1,pmuni0282.html
தத்துவங்,1,pmuni0282.html
காரிகை,1,pmuni0282.html
நன்னூலிலக்கிய,1,pmuni0282.html
கற்றகனவான்கள்,1,pmuni0282.html
யிச்சிங்காரத்தில்,1,pmuni0282.html
அநேகபிழையிருந்தாலும்,1,pmuni0282.html
பொருத்தருள்க,1,pmuni0282.html
முதற்பாகம்,1,pmuni0282.html
இந்தப்படி,1,pmuni0282.html
நாவஇதாசன்,1,pmuni0282.html
வருடம்,1,pmuni0282.html
ஏப்பிரல்,1,pmuni0282.html
மாதம்,1,pmuni0282.html
இன்னும்,1,pmuni0282.html
விநோத,1,pmuni0282.html
புஸ்தகம்,1,pmuni0282.html
வருகிறது,1,pmuni0282.html
சிங்கப்பூர்,1,pmuni0282.html
தீனோதயவேந்திரசாலையி,1,pmuni0282.html
லச்சிட்டது,1,pmuni0282.html
உ,1,pmuni0282.html
சிங்கை,1,pmuni0282.html
நகர்,1,pmuni0282.html
சுப்பிரமணியர்,1,pmuni0282.html
பேரில்,1,pmuni0282.html
பதம்,1,pmuni0282.html
ஆறுமுகனே,1,pmuni0282.html
ஆள,1,pmuni0282.html
யிதுசமயம்,1,pmuni0282.html
வா,1,pmuni0282.html
அநு,1,pmuni0282.html
பாரியான்,1,pmuni0282.html
கடைத்தேற,1,pmuni0282.html
பலதமிழ்கள்,1,pmuni0282.html
கூற,1,pmuni0282.html
பக்ஷம்,1,pmuni0282.html
வைத்து,1,pmuni0282.html
வந்தாளும்,1,pmuni0282.html
சமயம்,1,pmuni0282.html
முருகா,1,pmuni0282.html
தத்துவங்கடந்தசாமி,1,pmuni0282.html
மெய்ப்பொருளே,1,pmuni0282.html
சரசவள்ளிலோலா,1,pmuni0282.html
சண்முகா,1,pmuni0282.html
வுமைப்பாலா,1,pmuni0282.html
தாமேயென்மீதில்,1,pmuni0282.html
கோபம்,1,pmuni0282.html
வேண்டாம்முருகா,1,pmuni0282.html
வேதனைச்சிதையில்,1,pmuni0282.html
விதித்தருள்,1,pmuni0282.html
துரையே,1,pmuni0282.html
ஓமாதவசிங்காரா,1,pmuni0282.html
மகிழுமயில்,1,pmuni0282.html
வீரா,1,pmuni0282.html
ஆதாரமுனையன்றியில்லைமுருகா,1,pmuni0282.html
பாலனானன்னை,1,pmuni0282.html
பணிந்தேனா,1,pmuni0282.html
னுன்னை,1,pmuni0282.html
பலவினைகள்,1,pmuni0282.html
தீரும்,1,pmuni0282.html
பரமபதந்,1,pmuni0282.html
தாரும்,1,pmuni0282.html
சுவாமி,1,pmuni0282.html
பச்சைமயில்,1,pmuni0282.html
மீதில்வரும்முருகா,1,pmuni0282.html
யேழைபங்காளா,1,pmuni0282.html
யெழில்வள்ளி,1,pmuni0282.html
லோலா,1,pmuni0282.html
யெங்குமுன்னைத்தேடி,1,pmuni0282.html
யிரங்கசாமி,1,pmuni0282.html
பாடி,1,pmuni0282.html
யிங்குவந்தே,1,pmuni0282.html
னென்னைக்காரும்முருகா,1,pmuni0282.html
இதுவுமது,1,pmuni0282.html
என்னைக்கார்,1,pmuni0282.html
வடிவேலவனே,1,pmuni0282.html
ஜெகதீசனருவிழியால்,1,pmuni0282.html
வருமுருகேசனே,1,pmuni0282.html
வாசவன்மகள்புய,1,pmuni0282.html
மருவியதோளா,1,pmuni0282.html
வனசமலருதை,1,pmuni0282.html
மகிழ்மலர்த்தாளா,1,pmuni0282.html
நேசமுடனேயடியவர்வினைத்தூளா,1,pmuni0282.html
நிமிஷத்திலெனை,1,pmuni0282.html
வந்திடத்தகுந்தாளா,1,pmuni0282.html
தோகைமயிலுமிசை,1,pmuni0282.html
நடமிடும்,1,pmuni0282.html
வீறா,1,pmuni0282.html
சுந்தரமெங்கடமணி,1,pmuni0282.html
மலர்த்,1,pmuni0282.html
தீறா,1,pmuni0282.html
யேகனே,1,pmuni0282.html
அடிதொழுபவர்க்,1,pmuni0282.html
குபகாரா,1,pmuni0282.html
யெந்தனவினையகல்,1,pmuni0282.html
வந்து,1,pmuni0282.html
நிற்பீறா,1,pmuni0282.html
பாவிகள்மேற்கவி,1,pmuni0282.html
பாடிடுகாதே,1,pmuni0282.html
பலவழியிலுமனம்,1,pmuni0282.html
போயலையாதே,1,pmuni0282.html
தேவியை,1,pmuni0282.html
மணலிடை,1,pmuni0282.html
மனமுருகாதே,1,pmuni0282.html
சித்தங்கள்,1,pmuni0282.html
வைத்துயென்னை,1,pmuni0282.html
ஆள்வதுதோதே,1,pmuni0282.html
என்,1,pmuni0282.html
கந்தனே,1,pmuni0282.html
யுமையவளருளிய,1,pmuni0282.html
பாலா,1,pmuni0282.html
கார்க்கயிதுசமயம்,1,pmuni0282.html
வாவடிவேலா,1,pmuni0282.html
அந்தமுடையரெங்க,1,pmuni0282.html
சாமியான்பாலா,1,pmuni0282.html
அடியேனென்வினை,1,pmuni0282.html
யகற்றிடுகுணசீலா,1,pmuni0282.html
பரமகருணாநிதியே,1,pmuni0282.html
குறள்,1,pmuni0282.html
அகரமுதலவெழுத்தெல்லாமாதி,1,pmuni0282.html
பகவன்,1,pmuni0282.html
முதற்றே,1,pmuni0282.html
யுலகு,1,pmuni0282.html
இலாவணி,1,pmuni0282.html
பொய்யூர்நகரைவிட்டு,1,pmuni0282.html
நாகைப்பதியைக்கிட்டி,1,pmuni0282.html
போவோம்வா,1,pmuni0282.html
சிங்கைநகரடிமானே,1,pmuni0282.html
பூவுலகம்புகழ்,1,pmuni0282.html
குதிரைப்பந்தயமிடும்,1,pmuni0282.html
புதுமையைப்,1,pmuni0282.html
வருவோம்,1,pmuni0282.html
வையகம்புகழ்ந்திட,1,pmuni0282.html
அனந்தநாராயணசாமி,1,pmuni0282.html
வாத்தியார்வீடுமடமானே,1,pmuni0282.html
வளமையுடனவர்கள்,1,pmuni0282.html
பாதம்பணிந்து,1,pmuni0282.html
யிப்பால்,1,pmuni0282.html
வாடியென்னோடு,1,pmuni0282.html
மெய்யோர்,1,pmuni0282.html
போற்றிடும்,1,pmuni0282.html
நாகப்,1,pmuni0282.html
பட்டணமதிசயம்,1,pmuni0282.html
விளம்புவன்,1,pmuni0282.html
கேளடிநீதானே,1,pmuni0282.html
விபரமாய்ச்,1,pmuni0282.html
சொல்லுதற்கு,1,pmuni0282.html
யென்னால்முடியாதடி,1,pmuni0282.html
விள்ளுவேன்,1,pmuni0282.html
கொஞ்சசேதி,1,pmuni0282.html
யடிமானே,1,pmuni0282.html
பய்யவேகரிமுகன்,1,pmuni0282.html
றாளடியைப்பணிந்து,1,pmuni0282.html
பலவிதபக்ஷணங்கள்,1,pmuni0282.html
விற்குங்கடையுகந்து,1,pmuni0282.html
துய்யவேமிட்டாய்கடை,1,pmuni0282.html
தோன்றுததில்நுழைந்து,1,pmuni0282.html
தோணும்பலசாமான்கள்,1,pmuni0282.html
வாங்கியிப்பாலேவந்து,1,pmuni0282.html
கையைவீசிநடந்துறதிமானே,1,pmuni0282.html
காவர்புகழ்சிங்கை,1,pmuni0282.html
திரும்பிடலாம்,1,pmuni0282.html
