words,count,book
அணி,85,pmuni0087.html
நின்,79,pmuni0087.html
நீர்,65,pmuni0087.html
புனல்,62,pmuni0087.html
என,60,pmuni0087.html
வையை,55,pmuni0087.html
மலர்,41,pmuni0087.html
மணி,37,pmuni0087.html
வரை,35,pmuni0087.html
தண்,33,pmuni0087.html
கை,31,pmuni0087.html
&;,30,pmuni0087.html
கண்,27,pmuni0087.html
பண்,25,pmuni0087.html
இரு,25,pmuni0087.html
கொடி,25,pmuni0087.html
புனை,24,pmuni0087.html
பூ,24,pmuni0087.html
இல்,23,pmuni0087.html
மா,23,pmuni0087.html
புகழ்,21,pmuni0087.html
நீ,21,pmuni0087.html
பாடியவர்,21,pmuni0087.html
இசையமைத்தவர்,21,pmuni0087.html
இயல்,21,pmuni0087.html
எழில்,20,pmuni0087.html
கரை,20,pmuni0087.html
உயர்,19,pmuni0087.html
இருள்,19,pmuni0087.html
நீ;,19,pmuni0087.html
ஆர்,19,pmuni0087.html
பல,19,pmuni0087.html
தோள்,19,pmuni0087.html
கமழ்,19,pmuni0087.html
அமர்,18,pmuni0087.html
சீர்,18,pmuni0087.html
இசை,18,pmuni0087.html
வகை,18,pmuni0087.html
தன்,18,pmuni0087.html
கண்டு,18,pmuni0087.html
தார்,17,pmuni0087.html
ஒளி,17,pmuni0087.html
ஆங்கு,17,pmuni0087.html
தலை,16,pmuni0087.html
புரை,16,pmuni0087.html
போர்,16,pmuni0087.html
பல்,16,pmuni0087.html
அடி,16,pmuni0087.html
அருவி,16,pmuni0087.html
மகளிர்,16,pmuni0087.html
மாலை,16,pmuni0087.html
கார்,16,pmuni0087.html
வாய்,15,pmuni0087.html
ஒரு,15,pmuni0087.html
வரவு,15,pmuni0087.html
யாம்,15,pmuni0087.html
நிலம்,15,pmuni0087.html
நிறை,15,pmuni0087.html
எழ,15,pmuni0087.html
மென்,15,pmuni0087.html
தலைமகன்,15,pmuni0087.html
குரல்,15,pmuni0087.html
கூடல்,15,pmuni0087.html
அம்,14,pmuni0087.html
என்று,14,pmuni0087.html
கடவுள்,14,pmuni0087.html
அவை,14,pmuni0087.html
மலி,14,pmuni0087.html
காமம்,14,pmuni0087.html
வளை,13,pmuni0087.html
அந்தணர்,13,pmuni0087.html
மலை,13,pmuni0087.html
புரி,13,pmuni0087.html
ஏர்,13,pmuni0087.html
கொண்டு,13,pmuni0087.html
நிலை,13,pmuni0087.html
மாண்,13,pmuni0087.html
எல்லாம்,13,pmuni0087.html
தகை,13,pmuni0087.html
தோழி,13,pmuni0087.html
மைந்தர்,13,pmuni0087.html
வண்டு,13,pmuni0087.html
பாடல்,13,pmuni0087.html
எரி,12,pmuni0087.html
பொன்,12,pmuni0087.html
அலர்,12,pmuni0087.html
இதழ்,12,pmuni0087.html
வாழ்த்து,12,pmuni0087.html
சிறப்பு,12,pmuni0087.html
உடன்,12,pmuni0087.html
நனி,12,pmuni0087.html
திகழ்,12,pmuni0087.html
வான்,12,pmuni0087.html
கெழு,12,pmuni0087.html
நல்,12,pmuni0087.html
கொண்ட,12,pmuni0087.html
இவ்,12,pmuni0087.html
உறை,12,pmuni0087.html
மாறு,12,pmuni0087.html
ஆடல்,12,pmuni0087.html
இழை,12,pmuni0087.html
அரு,11,pmuni0087.html
மார்பின்,11,pmuni0087.html
பொலம்,11,pmuni0087.html
மிகு,11,pmuni0087.html
செறி,11,pmuni0087.html
அறு,11,pmuni0087.html
பாலையாழ்,11,pmuni0087.html
மதி,11,pmuni0087.html
எம்,11,pmuni0087.html
ஆறு,11,pmuni0087.html
நாற்றம்,11,pmuni0087.html
மழை,11,pmuni0087.html
ஓர்,11,pmuni0087.html
கடல்,11,pmuni0087.html
வேல்,11,pmuni0087.html
தான்,11,pmuni0087.html
வந்து,11,pmuni0087.html
வளம்,11,pmuni0087.html
நல்லச்சுதனார்,11,pmuni0087.html
துறை,11,pmuni0087.html
மட,11,pmuni0087.html
யாறு,11,pmuni0087.html
ஆர்ப்ப,11,pmuni0087.html
துகில்,11,pmuni0087.html
குன்றம்,11,pmuni0087.html
தேன்,11,pmuni0087.html
பொருள்,10,pmuni0087.html
புரையும்,10,pmuni0087.html
விறல்,10,pmuni0087.html
மறு,10,pmuni0087.html
ஒருங்கு,10,pmuni0087.html
நிற்,10,pmuni0087.html
எதிர்,10,pmuni0087.html
இன்,10,pmuni0087.html
தாமரை,10,pmuni0087.html
தீம்,10,pmuni0087.html
இன்று,10,pmuni0087.html
வேறு,10,pmuni0087.html
செவ்வேள்,10,pmuni0087.html
ஆடும்,10,pmuni0087.html
வையைப்,10,pmuni0087.html
போல,10,pmuni0087.html
வழி,10,pmuni0087.html
சுனை,10,pmuni0087.html
மணல்,10,pmuni0087.html
பூத்த,10,pmuni0087.html
ஒருதிறம்,10,pmuni0087.html
மை,9,pmuni0087.html
மால்,9,pmuni0087.html
சுடர்,9,pmuni0087.html
உறு,9,pmuni0087.html
நிரை,9,pmuni0087.html
அன்ன,9,pmuni0087.html
உரைத்தல்,9,pmuni0087.html
பாய்,9,pmuni0087.html
பரவுதும்,9,pmuni0087.html
அவன்,9,pmuni0087.html
நெடு,9,pmuni0087.html
கால்,9,pmuni0087.html
ஒன்று,9,pmuni0087.html
உள;,9,pmuni0087.html
விரி,9,pmuni0087.html
மயில்,9,pmuni0087.html
ஒலி,9,pmuni0087.html
போல்,9,pmuni0087.html
புகை,9,pmuni0087.html
தாம்,9,pmuni0087.html
சூள்,9,pmuni0087.html
இணர்,9,pmuni0087.html
நாள்,9,pmuni0087.html
