letters,count
ம்,3157
ன்,3014
த,2272
க,2250
ல்,2144
ர்,2115
;,1723
&,1495
அ,1482
வ,1431
த்,1392
து,1392
ம,1236
ன,1168
ரு,1153
கு,1084
ந்,1070
எ,1054
ள்,1050
இ,1027
க்,987
உ,978
ய,934
தி,898
ண்,874
ட,791
ங்,787
ப,759
ல,696
ர,695
டு,675
று,660
வி,655
ப்,591
ற,580
ஆ,571
கி,554
ஒ,533
மு,527
பு,523
ய்,503
யி,501
வா,498
',449
ற்,448
ரி,431
தா,425
னை,424
லை,408
ளி,389
டி,386
மா,384
கை,380
டை,379
சி,372
செ,369
கா,349
நி,342
யா,337
கொ,331
ள,317
றி,315
ந,314
லா,304
னா,303
ண,296
ரை,284
னி,276
ச,275
ஏ,271
ச்,269
ணி,267
லி,267
போ,267
பொ,266
ஓ,261
பா,257
பி,251
வே,240
சு,238
ழ,236
ழு,225
ட்,224
மி,221
தோ,218
யு,211
னு,208
தை,208
றை,207
வு,204
வெ,202
ழி,198
ழ்,196
மை,196
நீ,191
நா,179
தே,177
ரா,169
றா,168
ளை,164
லு,154
மே,151
பூ,146
வை,135
நெ,133
கோ,129
பெ,125
தொ,120
ழை,117
யை,110
ஞ்,104
நோ,104
கூ,102
சே,100
ளு,87
சை,81
வீ,80
தூ,79
சா,78
மெ,77
சூ,77
ணை,77
டா,72
நு,72
ணு,71
ஊ,71
தெ,69
ஈ,68
பே,65
யே,59
சோ,54
சொ,52
சீ,52
தீ,50
கே,47
ளா,47
வ்,46
யோ,46
மீ,44
மொ,39
ஐ,34
மூ,33
னோ,31
பை,31
லோ,30
னே,28
ணா,26
ரோ,25
நே,23
நூ,20
கீ,19
கெ,19
றே,18
யொ,18
ழா,18
னொ,15
ளே,14
ளோ,14
லே,13
ரே,12
{,11
},11
ரொ,11
மோ,10
நொ,9
லொ,9
வோ,9
ஞ,8
ஞா,8
வொ,7
ஞி,7
டே,7
றோ,6
நை,6
டோ,5
கௌ,5
யூ,5
ணோ,5
னீ,5
ரீ,5
ஞை,4
லெ,4
ளொ,3
பீ,3
யெ,3
ளெ,2
ணொ,2
டெ,2
ழீ,2
ணீ,2
ஃ,2
ணே,2
﻿,1
”,1
டொ,1
றொ,1
றெ,1
ளூ,1
ணெ,1
ங,1
மௌ,1
ரெ,1
